                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2013 University of Southern California                    

                                         SLOC COUNT RESULTS                                         
                             Generated by UCC v.2014.08f on 11 11 2015                             
                       GUCC -outdir D:\Development\ucc_2014.08zf\count_out_1                       

                                    RESULTS FOR JavaScript FILES                                    

Total,Blank,Comments,,Compiler,Data,Exec.,Logical,Physical,File,Module
Lines,Lines,Whole,Embedded,Direct.,Decl.,Instr.,SLOC,SLOC,Type,Name
142,46,11,0,0,0,64,64,85,CODE,D:\Development\1_Breakout\source\game.js
96019,17397,35934,129,0,1,12623,12624,42688,CODE,D:\Development\1_Breakout\source\phaser.js
35,1,2,1,0,13,8959,8972,32,CODE,D:\Development\1_Breakout\source\phaser.min.js

                                          RESULTS SUMMARY                                          

Total,Blank,Comments,,Compiler,Data,Exec.,,File,SLOC
Lines,Lines,Whole,Embedded,Direct.,Decl.,Instr.,SLOC,Type,Definition
96196,17444,35947,130,0,11,42794,42805,CODE,Physical
96196,17444,35947,130,0,14,21646,21660,CODE,Logical

Number of files successfully accessed,3,out of,3

Ratio of Physical to Logical SLOC,    1.98

                              TOTAL OCCURRENCES OF JavaScript KEYWORDS                              
Compiler Directives,,Data Keywords,,Executable Keywords
,,abstract,0,alert,0
,,boolean,0,arguments,190
,,byte,0,assign,0
,,char,0,break,151
,,class,0,case,97
,,double,0,catch,29
,,enum,0,close,0
,,float,0,comment,0
,,implements,0,constructor,312
,,instanceOf,0,continue,46
,,int,0,default,6
,,interface,0,debugger,0
,,long,0,delete,51
,,private,0,do,16
,,protected,0,else,1182
,,public,0,escape,0
,,short,0,eval,0
,,static,0,export,0
,,void,48,extends,12
,,,,false,1175
,,,,find,0
,,,,final,0
,,,,finally,1
,,,,focus,3
,,,,for,1175
,,,,function,5654
,,,,if,5039
,,,,import,0
,,,,label,0
,,,,length,1799
,,,,location,10
,,,,native,0
,,,,new,1462
,,,,null,2030
,,,,open,2
,,,,package,0
,,,,print,0
,,,,prompt,0
,,,,prototype,2674
,,,,ref,0
,,,,return,3804
,,,,self,24
,,,,status,6
,,,,stop,209
,,,,super,0
,,,,switch,17
,,,,synchronized,0
,,,,taint,0
,,,,this,28640
,,,,throw,68
,,,,throws,0
,,,,transient,0
,,,,true,967
,,,,try,30
,,,,typeof,444
,,,,untaint,0
,,,,var,5077
,,,,watch,0
,,,,while,114
,,,,with,0
