                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2013 University of Southern California                    

                                         SLOC COUNT RESULTS                                         
                              Generated by UCC v.2014.08f on 12 1 2015                              
                       GUCC -outdir D:\Development\ucc_2014.08zf\count_out_6                       

                                    RESULTS FOR JavaScript FILES                                    

Total,Blank,Comments,,Compiler,Data,Exec.,Logical,Physical,File,Module
Lines,Lines,Whole,Embedded,Direct.,Decl.,Instr.,SLOC,SLOC,Type,Name
16,2,2,0,0,0,7,7,12,CODE,D:\Development\GitHub\Breakout\source\boot.js
49,19,1,0,0,0,22,22,29,CODE,D:\Development\GitHub\Breakout\source\easteregg.js
723,190,24,7,0,0,403,403,509,CODE,D:\Development\GitHub\Breakout\source\game.js
58,9,2,0,0,0,36,36,47,CODE,D:\Development\GitHub\Breakout\source\level1.js
143,33,5,0,0,0,78,78,105,CODE,D:\Development\GitHub\Breakout\source\level2.js
198,56,6,0,0,0,103,103,136,CODE,D:\Development\GitHub\Breakout\source\level3.js
568,156,16,0,0,0,314,314,396,CODE,D:\Development\GitHub\Breakout\source\mainmenu.js
96019,17397,35934,129,0,1,12623,12624,42688,CODE,D:\Development\GitHub\Breakout\source\phaser.js
35,1,2,1,0,13,8959,8972,32,CODE,D:\Development\GitHub\Breakout\source\phaser.min.js
110,32,7,0,0,0,66,66,71,CODE,D:\Development\GitHub\Breakout\source\preload.js
6,0,1,0,0,0,5,5,5,CODE,D:\Development\GitHub\Breakout\source\savefile.js

                                          RESULTS SUMMARY                                          

Total,Blank,Comments,,Compiler,Data,Exec.,,File,SLOC
Lines,Lines,Whole,Embedded,Direct.,Decl.,Instr.,SLOC,Type,Definition
97925,17895,36000,137,0,11,44019,44030,CODE,Physical
97925,17895,36000,137,0,14,22616,22630,CODE,Logical

Number of files successfully accessed,11,out of,11

Ratio of Physical to Logical SLOC,    1.95

                              TOTAL OCCURRENCES OF JavaScript KEYWORDS                              
Compiler Directives,,Data Keywords,,Executable Keywords
,,abstract,0,alert,1
,,boolean,0,arguments,190
,,byte,0,assign,0
,,char,0,break,194
,,class,0,case,140
,,double,0,catch,29
,,enum,0,close,0
,,float,0,comment,0
,,implements,0,constructor,312
,,instanceOf,0,continue,46
,,int,0,default,6
,,interface,0,debugger,0
,,long,0,delete,51
,,private,0,do,16
,,protected,0,else,1195
,,public,0,escape,0
,,short,0,eval,0
,,static,0,export,0
,,void,48,extends,12
,,,,false,1214
,,,,find,0
,,,,final,0
,,,,finally,1
,,,,focus,3
,,,,for,1207
,,,,function,5700
,,,,if,5100
,,,,import,0
,,,,label,0
,,,,length,1804
,,,,location,10
,,,,native,0
,,,,new,1461
,,,,null,2044
,,,,open,2
,,,,package,0
,,,,print,0
,,,,prompt,0
,,,,prototype,2679
,,,,ref,0
,,,,return,3804
,,,,self,24
,,,,status,6
,,,,stop,210
,,,,super,0
,,,,switch,31
,,,,synchronized,0
,,,,taint,0
,,,,this,28917
,,,,throw,68
,,,,throws,0
,,,,transient,0
,,,,true,1073
,,,,try,30
,,,,typeof,444
,,,,untaint,0
,,,,var,5207
,,,,watch,0
,,,,while,114
,,,,with,0
